SYMBOL,NAME OF COMPANY, DATE OF LISTING, ISIN NUMBER
20MICRONS,20 Microns Limited,06-Oct-08,INE144J01027
21STCENMGM,21st Century Management Services Limited,03-May-95,INE253B01015
360ONE,360 ONE WAM LIMITED,19-Sep-19,INE466L01038
3IINFOLTD,3i Infotech Limited,22-Oct-21,INE748C01038
3MINDIA,3M India Limited,13-Aug-04,INE470A01017
3PLAND,3P Land Holdings Limited,19-Jul-95,INE105C01023
4THDIM,Fourth Dimension Solutions Limited,06-Sep-22,INE382T01030
5PAISA,5Paisa Capital Limited,16-Nov-17,INE618L01018
63MOONS,63 moons technologies limited,20-Jun-05,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,23-Dec-10,INE619I01012
AAATECH,AAA Technologies Limited,28-Nov-22,INE0D0U01013
AAKASH,Aakash Exploration Services Limited,29-Sep-20,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,06-Aug-21,INE198H01019
AARON,Aaron Industries Limited,06-Nov-20,INE721Z01010
AARTIDRUGS,Aarti Drugs Limited,19-Sep-03,INE767A01016
AARTIIND,Aarti Industries Limited,08-Feb-95,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,30-Jan-23,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,14-Jul-20,INE09EO01013
AARVEEDEN,Aarvee Denims & Exports Limited,21-Nov-06,INE273D01019
AARVI,Aarvi Encon Limited,24-Jun-20,INE754X01016
AAVAS,Aavas Financiers Limited,08-Oct-18,INE216P01012
ABAN,Aban Offshore Limited,29-Mar-95,INE421A01028
ABB,ABB India Limited,08-Feb-95,INE117A01022
ABBOTINDIA,Abbott India Limited,08-Jan-10,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,01-Sep-17,INE674K01013
ABFRL,Aditya Birla Fashion and Retail Limited,17-Jul-13,INE647O01011
ABMINTLLTD,ABM International Limited,09-Sep-21,INE251C01025
ABSLAMC,Aditya Birla Sun Life AMC Limited,11-Oct-21,INE404A01024
ACC,ACC Limited,20-Nov-96,INE012A01025
ACCELYA,Accelya Solutions India Limited,01-Dec-99,INE793A01012
ACCURACY,Accuracy Shipping Limited,11-Dec-20,INE648Z01023
ACE,Action Construction Equipment Limited,26-Sep-06,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,04-Nov-22,INE543V01017
ACI,Archean Chemical Industries Limited,21-Nov-22,INE128X01021
ACL,Andhra Cements Limited,10-May-23,INE666E01020
ADANIENT,Adani Enterprises Limited,04-Jun-97,INE423A01024
ADANIGREEN,Adani Green Energy Limited,18-Jun-18,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,27-Nov-07,INE742F01042
ADANIPOWER,Adani Power Limited,20-Aug-09,INE814H01011
ADANITRANS,Adani Transmission Limited,31-Jul-15,INE931S01010
ADFFOODS,ADF Foods Limited,15-Sep-10,INE982B01019
ADL,Archidply Decor Limited,01-Oct-20,INE0CHO01012
ADORWELD,Ador Welding Limited,10-May-95,INE045A01017
ADROITINFO,Adroit Infotech Limited,13-Aug-97,INE737B01033
ADSL,Allied Digital Services Limited,25-Jul-07,INE102I01027
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,25-Jun-07,INE199C01026
ADVENZYMES,Advanced Enzyme Technologies Limited,01-Aug-16,INE837H01020
AEGISCHEM,Aegis Logistics Limited,03-Apr-96,INE208C01025
AETHER,Aether Industries Limited,03-Jun-22,INE0BWX01014
AFFLE,Affle (India) Limited,08-Aug-19,INE00WC01027
AGARIND,Agarwal Industrial Corporation Limited,26-May-14,INE204E01012
AGI,AGI Greenpac Limited,31-May-00,INE415A01038
AGRITECH,Agri-Tech (India) Limited,28-Jan-14,INE449G01018
AGROPHOS,Agro Phos India Limited,08-Mar-19,INE740V01019
AGSTRA,AGS Transact Technologies Limited,31-Jan-22,INE583L01014
AHL,Abans Holdings Limited,23-Dec-22,INE00ZE01026
AHLADA,Ahlada Engineers Limited,28-Jan-21,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,11-Aug-10,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,14-Dec-09,INE758C01029
AIAENG,AIA Engineering Limited,14-Dec-05,INE212H01026
AIRAN,Airan Limited,03-May-19,INE645W01026
AIROLAM,Airo Lam limited,13-Oct-21,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,29-May-00,INE031B01049
AJMERA,Ajmera Realty & Infra India Limited,16-Jun-09,INE298G01027
AJOONI,Ajooni Biotech Limited,07-May-21,INE820Y01021
AKASH,Akash Infra-Projects Limited,11-Oct-19,INE737W01013
AKG,Akg Exim Limited,16-Feb-21,INE00Y801016
AKI,AKI India Limited,06-Apr-23,INE642Z01018
AKSHAR,Akshar Spintex Limited,23-May-22,INE256Z01017
AKSHARCHEM,AksharChem India Limited,28-Mar-17,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,18-Aug-00,INE523B01011
AKZOINDIA,Akzo Nobel India Limited,28-Jun-01,INE133A01011
ALANKIT,Alankit Limited,30-Jun-15,INE914E01040
ALBERTDAVD,Albert David Limited,14-Jun-16,INE155C01010
ALEMBICLTD,Alembic Limited,22-Sep-99,INE426A01027
ALICON,Alicon Castalloy Limited,29-Sep-06,INE062D01024
ALKALI,Alkali Metals Limited,06-Nov-08,INE773I01017
ALKEM,Alkem Laboratories Limited,23-Dec-15,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,26-Nov-07,INE150B01039
ALLCARGO,Allcargo Logistics Limited,23-Jun-06,INE418H01029
ALLSEC,Allsec Technologies Limited,09-May-05,INE835G01018
ALMONDZ,Almondz Global Securities Limited,16-Jun-08,INE326B01027
ALOKINDS,Alok Industries Limited,19-Feb-20,INE270A01029
ALPA,Alpa Laboratories Limited,06-Aug-07,INE385I01010
ALPHAGEO,Alphageo (India) Limited,11-May-07,INE137C01018
ALPSINDUS,Alps Industries Limited,24-Apr-96,INE093B01015
AMARAJABAT,Amara Raja Batteries Limited,05-Sep-03,INE885A01032
AMBER,Amber Enterprises India Limited,30-Jan-18,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,29-Jun-04,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,29-Jan-08,INE540G01014
AMBUJACEM,Ambuja Cements Limited,18-Feb-98,INE079A01024
AMDIND,AMD Industries Limited,19-Mar-07,INE005I01014
AMIORG,Ami Organics Limited,14-Sep-21,INE00FF01017
AMJLAND,Amj Land Holdings Limited,08-Feb-95,INE606A01024
AMRUTANJAN,Amrutanjan Health Care Limited,02-Jan-15,INE098F01031
ANANDRATHI,Anand Rathi Wealth Limited,14-Dec-21,INE463V01026
ANANTRAJ,Anant Raj Limited,27-Sep-06,INE242C01024
ANDHRAPAP,ANDHRA PAPER LIMITED,13-May-04,INE435A01028
ANDHRSUGAR,The Andhra Sugars Limited,01-Nov-95,INE715B01021
ANDREWYU,Andrew Yule & Company Limited,05-Aug-21,INE449C01025
ANGELONE,Angel One Limited,05-Oct-20,INE732I01013
ANIKINDS,Anik Industries Limited,21-May-08,INE087B01017
